fold,Model,MAE,RMSE,R2
1,Linear Regression,2.4749351302146225,3.179831700983932,0.5456337898235246
2,Linear Regression,2.455851474738245,3.092365276567006,0.5906113470824332
3,Linear Regression,2.4488448916622167,3.2092551975610557,0.5306715815386581
4,Linear Regression,2.282860380450187,2.924202848656411,0.5859394378757669
5,Linear Regression,2.390224250734647,3.0723949350288096,0.4927190169963854
1,Random Forest,2.295381180223285,2.962913319642159,0.6055103166633387
2,Random Forest,2.3576044016424205,3.0442773122798545,0.6032447819956152
3,Random Forest,2.240064918276605,2.98193296158588,0.5948049820461356
4,Random Forest,2.0736384029281085,2.6467756555045634,0.6607786809461929
5,Random Forest,2.1485805422647526,2.78010275245261,0.5846481050192597
1,XGBoost,2.3129667425079594,2.947242806931796,0.6096721043128
2,XGBoost,2.241403124016818,2.879206122102629,0.6451051156724947
3,XGBoost,2.233055380010529,2.938072973645877,0.6066370047871736
4,XGBoost,2.079737693993479,2.600912187491486,0.6724329156538573
5,XGBoost,2.1181818242658648,2.730837503099474,0.5992382930503685
1,Stacking Ensemble,2.2820375855903112,2.916613252733594,0.6177430000016731
2,Stacking Ensemble,2.2334391087755754,2.860287505628317,0.6497536621355683
3,Stacking Ensemble,2.2201956557661675,2.92091088119285,0.6112190659722521
4,Stacking Ensemble,2.062115050014863,2.585644965642665,0.6762672330507699
5,Stacking Ensemble,2.1109247309766417,2.729972053997544,0.5994922692751647
